gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
0,0,1,1,1.4903413298592119,1,2,1,2,2,2,2,2,2,2,0,1,1.6105590417771916,2.4424846595195695,0
0,0,0,0,0.797693988161937,1,0,2,1,1,1,1,1,1,1,0,3,-1.4675060142452372,-0.5340357334263627,0
1,0,0,1,1.5718292524118322,1,2,1,2,0,2,0,2,2,2,0,0,1.3928341377064908,2.3371431853246345,0
0,0,1,1,-0.9135523854430948,1,0,0,0,0,2,2,0,0,0,0,1,-0.3190486958265014,-0.7644577884878478,1
0,0,0,0,-0.46536881140368175,1,0,1,0,2,2,0,0,2,0,1,2,0.8393807556031058,-0.17314569030831226,0
1,1,0,0,-1.2802480369298874,0,1,0,0,0,2,0,0,2,0,1,2,-0.8359375902233565,-0.9907068109308373,1
1,0,1,0,-0.8320644628904743,1,0,2,1,1,1,1,1,1,1,0,0,-1.495760391109374,-0.9032939213190685,0
1,0,0,0,-1.2802480369298874,1,0,2,1,1,1,1,1,1,0,0,3,-1.4841262359300234,-0.9993178306197966,1
0,0,1,0,1.0421577558197987,1,2,0,0,2,0,2,0,0,2,1,1,-0.16281861198951006,0.5259587107468625,0
1,0,1,1,0.6754621043330061,1,0,0,2,2,0,2,0,0,0,0,1,-0.17279074500038175,0.28140575158041864,0
0,0,0,0,-0.09867315991688919,1,0,0,2,2,0,0,0,0,0,1,0,-0.3157246514895444,-0.2756168246069279,0
1,0,1,1,0.5939741817803856,1,2,1,0,2,0,0,2,2,0,1,2,1.1485168789401314,1.0537700586047394,1
1,0,1,1,-1.2802480369298874,0,1,0,0,2,0,0,0,0,0,0,2,-1.150059780065818,-0.9948798435493331,1
1,0,1,0,1.6125732136881425,1,2,0,2,2,2,2,2,2,2,1,1,0.8460288442770204,1.8612408305148171,0
0,0,0,1,-0.6283446565089229,1,0,0,0,0,0,0,2,2,0,1,3,-0.0032644838155611237,-0.5225102147657557,1
0,1,1,0,1.5718292524118322,1,2,1,2,2,2,2,0,0,2,1,1,1.0487955488314133,2.012640220276853,0
1,1,1,0,-1.2395040756535771,1,0,1,0,0,2,0,2,2,0,1,1,1.0205411719672768,-0.9238720504219148,0
0,0,1,1,-0.22090504374582004,1,0,0,2,2,2,2,0,0,1,0,3,0.044934159070319335,-0.21951271940270836,0
1,0,0,0,-1.2802480369298874,1,0,2,1,1,1,1,1,1,0,0,0,-1.4824642137615447,-0.9992957510821328,0
1,1,0,0,-1.2802480369298874,1,0,0,0,0,0,0,0,0,0,0,0,-0.6497911073537496,-0.9882339027124696,0
0,0,1,1,1.6125732136881425,1,2,1,2,2,0,2,2,0,2,0,0,1.1667991227933967,2.1680580858937364,0
1,0,0,0,-1.1172721918246462,1,0,1,0,0,0,0,0,0,0,1,2,0.1629377330323022,-0.8543215067803205,1
0,0,0,0,0.5532302205040753,1,0,1,0,0,2,0,0,0,0,1,1,0.3324639942171226,0.5112095795873118,0
1,0,0,0,0.06430268518835193,1,2,1,0,2,2,0,2,2,0,1,2,1.3811999825271402,0.5885321204866335,1
0,0,0,0,-0.8728084241667845,1,2,1,0,0,2,0,2,2,0,1,0,1.0986562138857725,-0.5329096770054988,1
1,0,1,1,-0.9135523854430948,1,0,0,0,2,0,0,0,0,1,0,3,-0.5068572008645872,-0.7894076660481658,0
0,0,1,1,1.5310852911355222,1,2,0,2,2,0,0,2,0,2,1,1,0.14631751134751586,1.130849724589757,0
0,0,1,1,-0.6283446565089229,1,0,2,1,1,1,1,1,1,1,0,3,-1.4641819699082799,-0.8524447460788807,0
0,0,0,0,1.24587756220135,1,2,0,2,2,2,2,2,0,2,1,1,0.5003282332334644,1.213228479614134,0
0,0,1,0,-0.791320501614164,1,2,0,2,2,0,2,2,0,0,1,2,0.3790006149345245,-0.5707760840992557,0
0,0,0,0,0.6754621043330061,1,2,1,0,0,0,0,0,2,0,1,2,0.6548962949019775,0.8201906296573025,0
1,0,0,0,-1.2395040756535771,1,0,0,0,2,0,0,0,0,0,0,3,-0.5168293338754589,-0.9653815812302314,0
0,0,0,0,-1.2395040756535771,1,0,1,0,0,0,0,2,0,0,1,2,0.526920587929123,-0.9369872957943297,1
1,0,0,0,0.797693988161937,1,2,0,2,0,0,2,2,2,2,1,1,0.4970041888965074,0.8230609695536223,0
0,0,1,1,1.4903413298592119,1,2,0,2,0,2,2,0,0,2,1,1,-0.021546727668825993,0.9464193464823804,0
0,1,0,0,0.4309983366751445,1,2,1,0,2,0,0,2,0,0,1,2,0.8460288442770204,0.7054874314928319,0
0,0,0,0,-0.7098325790615434,1,0,1,2,2,0,0,2,2,0,1,1,1.1402067680977384,-0.35179122954772163,1
0,1,1,0,-0.3023929662984406,1,2,0,2,0,0,2,2,0,0,1,1,0.15628964435838757,-0.2409519504744507,0
0,1,1,0,-0.9950403079957154,1,2,1,0,2,0,0,0,0,0,1,1,0.526920587929123,-0.7233015302821552,1
0,1,1,1,1.1236456783724194,1,0,0,2,2,2,2,0,2,1,1,1,0.33412601638560113,0.9749681886819298,0
1,1,0,0,-0.5876006952326126,1,2,1,0,0,0,0,2,2,0,1,2,1.0188791497987983,-0.24951881108808202,1
0,0,1,1,1.24587756220135,1,2,1,2,0,0,0,2,2,1,1,1,1.1584890119510036,1.7640687852555617,0
1,1,1,1,1.368109446030281,1,2,1,0,2,2,2,2,2,1,1,2,1.451004913603243,2.1525582504536094,0
0,0,1,1,0.06430268518835193,1,2,2,1,1,1,1,1,1,2,0,1,-1.3245721077560746,-0.6336144482909946,0
0,0,0,0,1.6125732136881425,1,2,1,0,0,2,2,2,2,2,1,1,1.419426492402149,2.4096965460885325,0
0,0,1,0,0.5939741817803856,1,2,1,0,0,2,0,2,2,0,1,2,1.1867433888151402,1.0776380388195215,0
1,0,0,0,1.1236456783724194,1,2,1,0,2,0,0,2,0,0,1,0,0.8343946890976701,1.3737246388937372,0
1,0,1,0,1.6125732136881425,0,1,0,2,2,2,0,0,0,2,0,0,-0.7544985039679034,0.3303340070438387,0
0,0,1,1,-0.5876006952326126,1,0,0,0,0,2,2,0,0,1,1,1,-0.3456410505221597,-0.5758102186866473,0
0,0,0,0,-0.9542963467194051,1,2,1,0,0,0,0,2,2,0,0,2,0.9839766842607471,-0.6330403803117306,1
0,0,0,0,-1.1987601143772668,1,0,0,0,2,0,2,2,2,0,1,2,0.3490842159019089,-0.908460533132444,0
1,0,1,0,0.5939741817803856,1,2,1,0,2,0,0,0,0,1,1,2,0.4687498120323708,0.6293351060897022,0
0,0,0,0,-0.05792919864057891,1,0,0,0,2,2,2,2,2,2,0,3,0.4787219450432425,0.0759777331545795,0
0,0,1,1,0.7162060656093164,1,0,2,1,1,1,1,1,1,2,0,0,-1.4841262359300234,-0.5633132003688243,0
1,0,0,0,-0.9135523854430948,1,0,1,2,0,2,0,0,0,0,1,3,0.5003282332334644,-0.6556056678043367,0
1,0,0,0,-1.2802480369298874,1,0,0,0,0,0,2,0,0,0,0,3,-0.5234774225493735,-0.9865558578500057,0
0,0,1,1,0.797693988161937,1,0,2,1,1,1,1,1,1,1,1,2,-1.4758161250876303,-0.5397764132190023,0
1,1,1,1,1.2866215234776603,1,2,1,2,0,2,2,2,2,2,1,0,1.5557123102173966,2.1458019119284257,0
1,0,1,1,1.2051336009250397,1,2,2,1,1,1,1,1,1,2,1,0,-1.3478404181147754,-0.34428418674196226,0
0,0,0,1,-1.1987601143772668,1,0,0,2,0,0,2,0,2,0,1,0,-0.009912572489475751,-0.9227680735387149,0
0,1,0,0,0.9606698332671781,1,2,1,2,2,2,0,2,2,1,0,2,1.5191478225108668,1.7243476969980285,0
0,0,0,0,0.5532302205040753,1,0,0,0,0,0,0,0,2,1,0,1,-0.30409049631019386,0.12221228502299164,0
0,0,1,1,-0.9950403079957154,1,0,0,2,2,0,0,0,0,0,0,3,-0.3373309396797665,-0.8151524069643877,0
1,1,0,0,-0.09867315991688919,1,0,0,2,2,0,0,2,2,0,1,2,0.33080197204864403,-0.017948620068068938,0
0,0,1,1,0.512486259227765,1,2,2,1,1,1,1,1,1,1,1,1,-1.2929936865549807,-0.49354186135059,0
0,0,0,1,-1.2802480369298874,1,0,1,0,0,0,0,2,0,0,1,2,0.48370801154867815,-0.9731756580256228,1
0,0,1,1,-0.8728084241667845,0,1,0,2,0,0,0,2,2,0,0,2,-0.47361675749501453,-0.762669345937064,0
0,0,1,0,-1.0357842692720256,1,0,1,0,0,2,0,0,0,0,1,0,0.3440981493964733,-0.7759170685354628,1
0,0,0,0,0.3902543753988342,1,0,1,0,2,2,2,2,2,0,1,0,1.2964368519347298,0.9169431637009423,0
0,0,1,0,0.6754621043330061,1,0,2,1,1,1,1,1,1,2,1,0,-1.4841262359300234,-0.5722112540474156,0
1,0,0,0,-0.9542963467194051,1,2,1,0,2,0,0,2,2,0,1,1,1.1468548567716528,-0.6135662280920843,0
0,0,1,0,0.10504664646466222,1,0,0,2,0,0,0,2,0,1,1,0,-0.08802761440797156,-0.04764559822614651,0
0,0,1,1,0.6347181430566958,1,0,2,1,1,1,1,1,1,2,0,0,-1.4675060142452372,-0.5705111296472877,0
0,0,1,1,0.5532302205040753,1,0,2,1,1,1,1,1,1,2,1,3,-1.4907743246039378,-0.6029680500133651,0
1,0,1,0,-0.13941712119319946,0,1,0,0,0,0,0,2,0,0,0,3,-1.0320562061038352,-0.5760089345256233,0
1,0,1,1,-0.09867315991688919,1,0,1,0,2,2,0,0,0,0,0,0,0.5734572086465244,0.07875975490024315,0
1,1,0,0,-1.2802480369298874,1,0,1,0,0,0,2,0,0,0,0,2,0.32913994988016554,-0.9752290550283746,0
1,0,1,1,1.368109446030281,1,2,0,2,0,2,2,2,2,2,1,3,0.6382760732171912,1.4399632518857317,0
0,0,0,0,1.3273654847539706,1,2,1,2,2,2,0,2,2,0,1,1,1.5374300663641316,2.179296570564711,0
1,0,0,0,1.6125732136881425,1,2,1,0,2,2,0,2,2,2,1,0,1.2000395661629695,2.199852620129894,0
0,0,0,0,-0.8320644628904743,1,2,1,2,0,0,0,0,0,0,1,2,0.47041183420084937,-0.5898528046409501,1
1,0,1,1,1.5718292524118322,1,2,0,2,2,0,2,0,0,1,1,1,0.06820246942901982,1.0887661258021764,0
1,0,0,0,-1.1172721918246462,1,0,2,1,1,1,1,1,1,0,0,3,-1.4542098368974081,-0.9617384575156717,1
1,0,0,0,0.797693988161937,1,0,2,1,1,1,1,1,1,2,0,0,-1.4558718590658866,-0.5259987817166674,0
0,1,1,0,-0.3023929662984406,1,0,1,0,2,2,0,2,2,0,1,2,1.1202625020759949,0.07920134565352312,1
1,0,0,0,-1.2802480369298874,1,0,2,1,1,1,1,1,1,0,0,3,-1.4824642137615447,-0.9992957510821328,0
0,0,1,1,-1.2802480369298874,1,0,2,1,1,1,1,1,1,0,0,2,-1.5073945462887242,-0.9996269441470927,0
1,0,0,0,0.22727853029359305,1,2,1,0,0,2,2,2,0,1,0,0,1.0039209502824906,0.5839837357278498,0
0,1,1,0,1.368109446030281,0,1,0,0,2,2,0,2,0,1,0,0,-0.6398189743428778,0.31933839728716756,0
1,0,1,0,1.4495973685829016,1,2,1,0,2,2,2,2,2,2,1,0,1.5025276008260804,2.2948829502357415,1
1,0,0,0,-1.1172721918246462,0,1,0,0,0,0,0,0,0,0,0,3,-1.346178395946297,-0.9545626077748723,0
0,0,1,1,1.6125732136881425,1,2,1,2,2,0,0,2,2,1,1,2,1.3080710071140806,2.3031848563974053,0
0,0,0,0,-0.01718523736426863,0,1,0,2,0,0,0,0,0,1,0,3,-1.1517218022342968,-0.5821691255338788,0
1,0,0,0,0.4309983366751445,1,2,1,0,0,0,0,2,2,1,0,3,0.9823146620922681,0.7833398812960896,0
1,0,1,1,1.6125732136881425,1,0,2,1,1,1,1,1,1,2,0,1,-1.509056568457203,-0.3914019201169344,0
1,0,1,0,0.9199258719908678,1,2,1,2,2,0,0,2,0,0,1,2,1.0620917261792426,1.34159891159262,1
0,0,0,0,0.797693988161937,1,0,0,2,0,2,2,0,0,1,0,1,-0.2276374765601766,0.32247369163545525,0
0,0,0,0,0.4309983366751445,1,0,1,0,2,2,0,2,0,0,1,2,0.8925654649944222,0.7320711948402856,0
0,1,1,0,0.18653456901728277,1,2,1,0,0,0,0,0,0,0,1,2,0.3889727479453962,0.24170674286054983,1
0,0,1,1,1.2866215234776603,0,1,0,0,2,0,2,2,2,2,1,2,-0.33899296184824507,0.5348788439631179,0
1,0,1,1,-1.1987601143772668,1,0,1,2,2,0,0,2,0,0,0,2,0.8327326669291911,-0.8891850967517737,0
0,0,0,0,0.1457906077409725,0,1,0,2,0,0,0,0,0,2,0,0,-1.1218054032016815,-0.5146057402820443,0
0,0,1,1,-0.9135523854430948,1,2,1,2,0,0,0,2,2,0,1,2,1.178433277972747,-0.5655211541352241,1
0,0,0,0,0.3495104141225239,1,0,2,1,1,1,1,1,1,2,0,3,-1.4675060142452372,-0.6343430730339065,0
1,0,1,1,-0.22090504374582004,1,2,1,0,2,0,2,0,0,0,1,1,0.6781646052606785,0.007619484546841012,0
0,0,1,1,0.9606698332671781,1,2,1,0,0,2,0,2,2,1,1,1,1.1634750784564392,1.4597465176326743,0
0,0,0,0,-1.076528230548336,1,0,2,1,1,1,1,1,1,0,0,3,-1.4658439920767583,-0.9533703127410165,0
1,0,0,0,-1.1987601143772668,1,2,1,0,0,0,0,0,0,0,1,2,0.3191678168692938,-0.9096528281663001,1
0,0,1,1,-1.0357842692720256,1,0,0,2,0,0,0,0,0,0,0,3,-0.46863069098957844,-0.8535045638867527,0
0,0,1,1,-1.1580161531009565,1,0,2,1,1,1,1,1,1,0,0,3,-1.4608579255713225,-0.9713872154748389,0
1,0,0,0,0.02355872391204165,1,0,1,2,0,0,2,2,0,2,1,2,0.802816267896576,0.288007533341954,0
0,1,0,0,-0.22090504374582004,1,2,1,0,0,2,0,0,0,0,1,2,0.44049543516823375,-0.07762961037385609,1
1,0,1,0,1.6125732136881425,1,2,2,1,1,1,1,1,1,2,1,0,-1.3711087284734764,-0.2594546030368812,0
1,0,0,0,-1.2802480369298874,1,0,2,1,1,1,1,1,1,0,0,3,-1.4974224132778524,-0.9994944669211087,0
1,1,0,0,1.5718292524118322,0,1,0,2,2,0,0,2,2,1,1,2,-0.2774981416145356,0.7616577753100432,0
0,0,0,0,-0.791320501614164,1,2,1,0,0,0,0,0,2,0,1,2,0.703094937787858,-0.5148044561210203,0
0,0,1,1,-0.3023929662984406,0,1,0,2,2,2,0,2,2,0,1,1,-0.20603118836995443,-0.3612854307432408,1
1,0,0,0,1.4088534073065913,1,0,0,0,0,0,2,0,0,2,0,0,-0.47361675749501453,0.4873857584478577,0
1,0,0,0,-1.2802480369298874,0,1,0,0,0,0,0,0,2,0,1,2,-0.9755474523755615,-0.9925614920946133,1
1,0,0,0,-1.2395040756535771,1,0,0,0,0,0,0,0,0,0,0,2,-0.6797075063863649,-0.9690467844824552,1
0,0,0,0,0.4309983366751445,1,2,2,1,1,1,1,1,1,2,1,1,-1.2996417752288951,-0.5202139428486999,0
0,0,0,0,-0.38388088885106114,1,0,1,2,0,0,0,0,0,0,1,0,0.3391120828910372,-0.24647183489045024,0
0,0,1,1,1.2866215234776603,1,0,2,1,1,1,1,1,1,2,0,3,-1.4824642137615447,-0.43732735845805065,0
1,0,0,1,1.0014137945434884,1,0,2,1,1,1,1,1,1,2,1,3,-1.5024084797832884,-0.5148706947340123,0
0,1,1,0,-1.2802480369298874,1,0,1,0,0,0,0,0,0,0,1,3,0.18786806555948168,-0.9771058157298146,1
0,1,1,1,1.6125732136881425,1,2,0,2,2,2,2,2,2,2,1,1,0.7728998688639604,1.7912928551952707,0
0,0,0,0,-0.9950403079957154,1,2,0,2,0,0,2,0,2,0,0,2,0.21113637591818266,-0.7568624275314325,1
0,0,1,0,1.1643896396487294,1,2,1,0,2,0,0,2,2,2,1,0,1.205025632668405,1.7137715984569735,0
1,0,0,0,1.2866215234776603,1,2,1,2,2,0,0,0,0,1,1,1,0.6482482062280629,1.374254547797673,0
1,1,1,0,1.5718292524118322,1,2,2,1,1,1,1,1,1,2,0,0,-1.3578125511256471,-0.25731288788347334,0
0,0,1,1,1.3273654847539706,1,2,1,2,2,0,2,2,0,2,1,1,1.1385447459292597,1.8348557830063392,0
1,0,0,0,-1.1987601143772668,1,0,2,1,1,1,1,1,1,1,0,3,-1.5024084797832884,-0.9811242915846622,0
1,0,0,0,-1.2802480369298874,1,0,0,0,0,0,0,0,0,0,1,2,-0.6364949300059205,-0.9880572664111575,1
1,0,0,1,-0.09867315991688919,1,0,0,0,2,2,0,2,0,1,0,1,-0.009912572489475751,-0.15373777670165784,0
1,0,1,1,-0.7098325790615434,1,0,0,0,2,2,2,0,2,0,1,3,0.15628964435838757,-0.5478575240040255,0
0,0,1,1,-0.9950403079957154,1,0,0,0,0,0,2,2,2,0,1,2,0.12471122315729345,-0.7660475151996556,0
1,0,0,0,-1.0357842692720256,1,2,1,0,0,0,0,2,2,0,0,3,1.0039209502824906,-0.7145580333672119,1
0,0,1,1,1.5310852911355222,1,2,1,2,2,2,0,2,2,1,1,1,1.4410327805923713,2.334846913407578,0
1,0,1,1,1.2051336009250397,1,0,0,2,2,2,2,2,2,2,0,2,0.7080810042932936,1.3490838748607152,0
0,0,1,1,-1.076528230548336,1,0,2,1,1,1,1,1,1,0,0,3,-1.499084435446331,-0.958095333801112,0
0,0,1,1,-0.7505765403378537,1,0,1,0,0,0,0,0,2,0,1,0,0.5352306987715161,-0.5080701971335009,0
0,0,0,0,-0.42462485012737144,1,2,1,0,0,0,0,2,0,0,1,0,0.6432621397226272,-0.19069892275119082,0
1,0,1,1,-0.42462485012737144,1,0,2,1,1,1,1,1,1,1,0,3,-1.4841262359300234,-0.81245870336938,0
1,0,1,1,-0.6690886177852331,1,0,0,2,0,2,0,2,0,2,0,3,-0.018222683331868918,-0.5560269529397049,0
1,0,0,0,-0.9135523854430948,1,2,2,1,1,1,1,1,1,2,0,0,-1.2996417752288951,-0.8947270607054372,0
0,0,0,1,-0.791320501614164,1,0,0,2,2,0,0,0,0,0,1,2,-0.2924563411308434,-0.6867378159105743,0
0,0,1,0,-0.506112772679992,1,2,1,2,0,0,0,0,0,0,0,2,0.5850913638258751,-0.28047432289300744,1
0,0,0,0,-1.2395040756535771,1,0,1,0,0,0,0,0,0,0,1,2,0.1629377330323022,-0.9485128144549368,0
1,0,0,0,0.8384379494382472,1,2,0,0,2,2,2,0,2,2,1,0,0.30254759518450747,0.7213626190732465,0
0,0,1,1,-0.8728084241667845,1,0,2,1,1,1,1,1,1,1,0,3,-1.4691680364137156,-0.9081514196051481,0
1,0,1,0,1.4903413298592119,1,0,2,1,1,1,1,1,1,2,0,3,-1.4924363467724167,-0.40186762096966955,0
0,0,0,0,-1.1580161531009565,1,0,1,0,0,0,0,0,0,0,1,0,0.2028262650757895,-0.8829807466681902,1
1,0,1,0,1.6125732136881425,1,2,0,2,2,2,2,2,2,2,1,0,0.8061403122335331,1.8230873894314283,0
1,1,1,0,1.0421577558197987,0,1,0,0,2,2,0,0,2,0,1,2,-0.648129085185271,0.1520196608693892,1
0,0,1,1,-0.6690886177852331,1,0,2,1,1,1,1,1,1,0,0,2,-1.4758161250876303,-0.8662886161942075,0
1,0,1,0,0.4309983366751445,1,0,1,2,0,2,2,0,0,1,1,0,0.6465861840595843,0.5915570171466012,0
0,0,1,0,-1.2395040756535771,1,2,1,0,0,2,2,2,2,0,1,2,1.3163811179564737,-0.9160117350135314,1
1,0,1,0,-0.7505765403378537,1,0,0,0,2,2,2,2,2,2,0,3,0.5701331643095673,-0.5015788130602854,0
0,0,1,0,0.8384379494382472,1,0,1,0,0,2,0,2,2,1,1,0,0.9989348837770544,1.2116829119776542,1
0,0,0,0,-0.01718523736426863,1,0,2,1,1,1,1,1,1,1,0,0,-1.4708300585821945,-0.7191726567389876,0
0,0,1,0,0.06430268518835193,1,2,2,1,1,1,1,1,1,0,0,2,-1.3328822185984677,-0.6373679696938743,0
0,1,0,0,-0.7098325790615434,1,2,1,0,0,0,0,0,0,0,1,3,0.32082983903777235,-0.5150694105729883,1
0,1,0,0,-1.0357842692720256,1,0,1,2,0,0,0,0,0,0,0,0,0.38731072577691766,-0.7718985926806152,1
0,0,1,1,-0.7098325790615434,1,2,1,0,2,2,0,2,2,0,1,0,1.3479595391575674,-0.31039209642772503,0
1,0,1,0,1.1643896396487294,1,0,2,1,1,1,1,1,1,1,1,1,-1.4708300585821945,-0.45534426119187316,0
0,0,0,0,-1.2802480369298874,0,1,0,0,2,0,0,0,0,0,0,0,-1.1583698909082112,-0.9949902412376531,1
0,0,0,0,-1.2802480369298874,1,0,0,0,0,0,0,0,0,0,0,3,-0.648129085185271,-0.9882118231748055,0
1,0,0,0,-0.9950403079957154,1,2,1,0,0,0,0,0,2,0,0,0,0.6548962949019775,-0.7097005350811323,1
1,0,1,1,0.02355872391204165,1,0,0,2,0,2,0,2,2,1,0,1,0.33080197204864403,0.08107810635496296,0
0,0,0,0,-0.791320501614164,1,0,1,0,2,2,0,0,0,0,1,2,0.48038396721172105,-0.5532670107317051,1
0,0,1,0,-1.2802480369298874,0,1,0,0,0,0,0,0,0,0,1,2,-1.3295581742615106,-0.9972644336170448,1
1,0,0,0,-0.506112772679992,1,0,0,0,2,0,0,0,0,0,1,3,-0.4320662032830487,-0.5507278639003453,0
1,0,0,0,-1.1987601143772668,0,1,0,0,0,0,2,0,0,0,0,2,-1.1434116913919037,-0.9679428075992553,0
0,0,0,0,-0.791320501614164,1,0,2,1,1,1,1,1,1,1,0,2,-1.5007464576148097,-0.8954115263730211,0
0,0,1,0,0.3087664528462136,1,2,0,0,2,0,0,0,0,0,0,1,-0.27251207510909975,-0.008454418872549713,0
1,0,1,1,0.4309983366751445,1,2,0,2,0,0,2,0,2,1,1,1,0.23606670844536215,0.3570502476172765,0
1,0,1,0,-1.076528230548336,1,0,1,0,2,2,0,0,2,0,1,2,0.8709591768041999,-0.7671073330075276,1
0,0,1,1,1.4903413298592119,1,0,2,1,1,1,1,1,1,2,0,0,-1.4974224132778524,-0.40643808526611713,0
0,0,1,1,1.6125732136881425,1,2,1,2,2,2,0,2,2,2,0,1,1.4925554678152089,2.4796445214080793,0
1,0,1,1,1.082901717096109,1,0,2,1,1,1,1,1,1,2,0,1,-1.5123806127941604,-0.505376493538493,0
0,0,1,0,-0.506112772679992,1,0,1,2,2,0,2,2,0,0,1,2,1.055443637505328,-0.1555041397147777,0
1,0,1,1,-0.3431369275747509,1,2,2,1,1,1,1,1,1,2,1,0,-1.3528264846202114,-0.7527997926012567,0
1,0,0,0,1.082901717096109,1,2,1,0,2,2,2,2,2,0,1,2,1.5474021993750033,1.8928808079873263,0
1,0,1,1,1.6125732136881425,1,2,1,0,2,2,2,2,2,2,1,0,1.577318598407619,2.56072058371028,0
1,0,0,1,-1.2802480369298874,1,0,2,1,1,1,1,1,1,0,0,3,-1.4641819699082799,-0.9990528761678287,0
0,0,1,0,-0.22090504374582004,1,0,1,2,0,0,2,2,2,1,1,1,1.233280009532542,0.20673275520077677,0
0,0,0,0,-0.7505765403378537,1,0,1,0,2,0,2,0,0,0,1,1,0.5069763219073791,-0.5133251270975324,0
1,0,1,1,1.5718292524118322,1,2,1,2,0,2,0,2,2,2,0,2,1.354607627831482,2.3010873003193257,0
1,0,0,1,-0.791320501614164,1,0,1,0,0,0,0,2,0,0,1,1,0.44880554601062694,-0.5587206565347127,0
1,0,0,0,0.4717422979514547,1,0,1,0,0,0,0,0,0,0,0,1,0.13468335616816515,0.3295391436879347,0
0,0,0,0,0.02355872391204165,1,0,1,0,2,0,2,0,0,1,1,0,0.503652277570422,0.15685507961780473,0
1,0,1,1,1.6125732136881425,0,1,0,2,2,2,2,0,2,2,1,1,-0.3107385849841083,0.7547910390965399,0
1,0,0,0,-1.2802480369298874,1,0,1,0,0,0,0,0,2,0,0,2,0.5019902554019434,-0.9729327831113188,1
0,0,0,0,-0.5468567339563023,1,0,1,2,0,2,2,2,2,0,1,2,1.3895100933695332,-0.11381797260514905,1
1,0,1,0,1.2866215234776603,1,0,1,0,2,2,2,2,2,1,1,1,1.251562253385807,1.8872063668076795,0
1,0,0,0,-1.2395040756535771,1,0,0,0,0,0,0,0,0,0,1,1,-0.62486077482657,-0.9675895349966313,1
0,0,0,0,-1.2802480369298874,0,1,0,0,0,0,0,0,0,0,0,2,-1.3145999747452028,-0.9970657177780688,0
1,0,0,1,1.1643896396487294,1,0,2,1,1,1,1,1,1,2,0,3,-1.4974224132778524,-0.4762094242843514,0
0,0,1,1,-0.13941712119319946,1,0,2,1,1,1,1,1,1,1,0,2,-1.4891123024354593,-0.7520932473960089,0
1,1,1,0,-0.38388088885106114,1,2,1,0,0,0,0,0,2,0,0,2,0.7313493146519946,-0.126624104450268,0
0,0,1,0,1.0014137945434884,0,1,0,2,2,2,0,2,2,0,1,0,-0.20104512186451856,0.4705611507478911,0
1,0,1,1,1.6125732136881425,0,1,0,2,2,2,2,0,0,2,0,1,-0.6497911073537496,0.43048678988773437,0
1,0,1,0,1.368109446030281,0,1,0,2,2,2,2,2,0,2,1,0,-0.27251207510909975,0.641390533654245,0
1,0,1,1,1.3273654847539706,1,2,0,0,2,2,2,2,2,2,1,0,0.6449241618911058,1.4086103084028543,0
0,0,0,0,-0.9950403079957154,1,0,1,0,0,0,0,2,0,0,1,0,0.5053142997389005,-0.725597802199211,0
